partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
28,2003,4,2003-04-16,20:30,Atletico-MG,atletico_mg,Guarani,guarani,3,2,5,1,Vitoria Mandante,Atletico-MG, Mineirão,MG,SP,,,,
29,2003,4,2003-04-16,20:30,Figueirense,figueirense,Athletico-PR,athletico_pr,1,1,2,0,Empate,-, Orlando Scarpelli,SC,PR,,,,
30,2003,4,2003-04-16,20:30,Ponte Preta,ponte_preta,Criciuma,criciuma,1,1,2,0,Empate,-, Moisés Lucarelli,SP,SC,,,,
31,2003,4,2003-04-16,21:40,Sao Caetano,sao_caetano,Flamengo,flamengo,1,1,2,0,Empate,-, Anacleto Campanella,SP,RJ,,,,
32,2003,4,2003-04-16,21:40,Vasco,vasco,Corinthians,corinthians,2,2,4,0,Empate,-, São Januário,RJ,SP,,,,
33,2003,4,2003-04-16,21:40,Coritiba,coritiba,Cruzeiro,cruzeiro,3,4,7,-1,Vitoria Visitante,Cruzeiro, Couto Pereira,PR,MG,,,,
34,2003,4,2003-04-17,20:30,Fluminense,fluminense,Internacional,internacional,3,1,4,2,Vitoria Mandante,Fluminense, Maracanã,RJ,RS,,,,
35,2003,4,2003-04-17,20:30,Sao Paulo,sao_paulo,Fortaleza,fortaleza,3,1,4,2,Vitoria Mandante,Sao Paulo, Morumbi,SP,CE,,,,
36,2003,4,2003-04-17,20:30,Parana,parana,Goias,goias,3,1,4,2,Vitoria Mandante,Parana, Pinheirão,PR,GO,,,,
144,2003,12,2003-04-18,20:30,Flamengo,flamengo,Cruzeiro,cruzeiro,3,0,3,3,Vitoria Mandante,Flamengo, Maracanã,RJ,MG,,,,
49,2003,5,2003-04-19,16:00,Bahia,bahia,Atletico-MG,atletico_mg,2,4,6,-2,Vitoria Visitante,Atletico-MG, Fonte Nova,BA,MG,,,,
50,2003,5,2003-04-19,16:00,Sao Caetano,sao_caetano,Gremio,gremio,1,1,2,0,Empate,-, Anacleto Campanella,SP,RS,,,,
51,2003,5,2003-04-19,18:00,Flamengo,flamengo,Santos,santos,0,2,2,-2,Vitoria Visitante,Santos, Maracanã,RJ,SP,,,,
52,2003,5,2003-04-20,16:00,Sao Paulo,sao_paulo,Vasco,vasco,3,1,4,2,Vitoria Mandante,Sao Paulo, Morumbi,SP,RJ,,,,
53,2003,5,2003-04-20,16:00,Internacional,internacional,Corinthians,corinthians,2,1,3,1,Vitoria Mandante,Internacional, Beira Rio,RS,SP,,,,
54,2003,5,2003-04-20,16:00,Criciuma,criciuma,Guarani,guarani,1,0,1,1,Vitoria Mandante,Criciuma, Heriberto Hulse,SC,SP,,,,
55,2003,5,2003-04-20,16:00,Juventude,juventude,Vitoria,vitoria,1,1,2,0,Empate,-, Alfredo Jaconi,RS,BA,,,,
56,2003,5,2003-04-20,16:00,Fortaleza,fortaleza,Athletico-PR,athletico_pr,1,0,1,1,Vitoria Mandante,Fortaleza, Presidente Vargas,CE,PR,,,,
57,2003,5,2003-04-20,16:00,Ponte Preta,ponte_preta,Paysandu,paysandu,4,4,8,0,Empate,-, Moisés Lucarelli,SP,PA,,,,
58,2003,5,2003-04-20,18:00,Cruzeiro,cruzeiro,Goias,goias,4,1,5,3,Vitoria Mandante,Cruzeiro, Mineirão,MG,GO,,,,
59,2003,5,2003-04-20,18:00,Fluminense,fluminense,Parana,parana,0,0,0,0,Empate,-, Maracanã,RJ,PR,,,,
60,2003,5,2003-04-21,20:30,Coritiba,coritiba,Figueirense,figueirense,1,0,1,1,Vitoria Mandante,Coritiba, Couto Pereira,PR,SC,,,,
61,2003,6,2003-04-26,16:00,Atletico-MG,atletico_mg,Coritiba,coritiba,1,2,3,-1,Vitoria Visitante,Coritiba, Mineirão,MG,PR,,,,
62,2003,6,2003-04-26,16:00,Parana,parana,Bahia,bahia,3,1,4,2,Vitoria Mandante,Parana, Pinheirão,PR,BA,,,,
63,2003,6,2003-04-26,16:00,Vitoria,vitoria,Internacional,internacional,0,3,3,-3,Vitoria Visitante,Internacional, Barradão,BA,RS,,,,
64,2003,6,2003-04-26,18:00,Guarani,guarani,Cruzeiro,cruzeiro,1,1,2,0,Empate,-, Brinco de Ouro,SP,MG,,,,
65,2003,6,2003-04-27,16:00,Corinthians,corinthians,Flamengo,flamengo,1,1,2,0,Empate,-, Pacaembu,SP,RJ,,,,
66,2003,6,2003-04-27,16:00,Goias,goias,Juventude,juventude,7,0,7,7,Vitoria Mandante,Goias, Serra Dourada,GO,RS,,,,
67,2003,6,2003-04-27,16:00,Figueirense,figueirense,Ponte Preta,ponte_preta,0,0,0,0,Empate,-, Orlando Scarpelli,SC,SP,,,,
68,2003,6,2003-04-27,16:00,Santos,santos,Fortaleza,fortaleza,4,0,4,4,Vitoria Mandante,Santos, Vila Belmiro,SP,CE,,,,
69,2003,6,2003-04-27,16:00,Gremio,gremio,Fluminense,fluminense,0,1,1,-1,Vitoria Visitante,Fluminense, Olímpico,RS,RJ,,,,
70,2003,6,2003-04-27,16:00,Athletico-PR,athletico_pr,Criciuma,criciuma,5,2,7,3,Vitoria Mandante,Athletico-PR, Arena da Baixada,PR,SC,,,,
71,2003,6,2003-04-27,18:00,Paysandu,paysandu,Sao Paulo,sao_paulo,5,2,7,3,Vitoria Mandante,Paysandu, Mangueirão,PA,SP,,,,
72,2003,6,2003-04-27,18:00,Vasco,vasco,Sao Caetano,sao_caetano,1,0,1,1,Vitoria Mandante,Vasco, São Januário,RJ,SP,,,,
73,2003,7,2003-05-03,16:00,Flamengo,flamengo,Vitoria,vitoria,2,1,3,1,Vitoria Mandante,Flamengo, Maracanã,RJ,BA,,,,
74,2003,7,2003-05-03,16:00,Bahia,bahia,Gremio,gremio,2,1,3,1,Vitoria Mandante,Bahia, Fonte Nova,BA,RS,,,,
75,2003,7,2003-05-03,18:00,Cruzeiro,cruzeiro,Athletico-PR,athletico_pr,5,2,7,3,Vitoria Mandante,Cruzeiro, Mineirão,MG,PR,,,,
76,2003,7,2003-05-04,16:00,Fortaleza,fortaleza,Corinthians,corinthians,1,2,3,-1,Vitoria Visitante,Corinthians, Castelão,CE,SP,,,,
77,2003,7,2003-05-04,16:00,Sao Paulo,sao_paulo,Figueirense,figueirense,3,2,5,1,Vitoria Mandante,Sao Paulo, Morumbi,SP,SC,,,,
78,2003,7,2003-05-04,16:00,Sao Caetano,sao_caetano,Paysandu,paysandu,2,0,2,2,Vitoria Mandante,Sao Caetano, Anacleto Campanella,SP,PA,,,,
79,2003,7,2003-05-04,16:00,Internacional,internacional,Goias,goias,2,1,3,1,Vitoria Mandante,Internacional, Beira Rio,RS,GO,,,,
80,2003,7,2003-05-04,16:00,Ponte Preta,ponte_preta,Atletico-MG,atletico_mg,2,1,3,1,Vitoria Mandante,Ponte Preta, Moisés Lucarelli,SP,MG,,,,
81,2003,7,2003-05-04,16:00,Juventude,juventude,Guarani,guarani,1,1,2,0,Empate,-, Alfredo Jaconi,RS,SP,,,,
82,2003,7,2003-05-04,16:00,Coritiba,coritiba,Parana,parana,2,1,3,1,Vitoria Mandante,Coritiba, Couto Pereira,PR,PR,,,,
83,2003,7,2003-05-04,18:00,Criciuma,criciuma,Santos,santos,1,3,4,-2,Vitoria Visitante,Santos, Heriberto Hulse,SC,SP,,,,
84,2003,7,2003-05-04,18:00,Fluminense,fluminense,Vasco,vasco,0,0,0,0,Empate,-, Maracanã,RJ,RJ,,,,
85,2003,8,2003-05-10,16:00,Goias,goias,Flamengo,flamengo,1,1,2,0,Empate,-, Serra Dourada,GO,RJ,,,,
86,2003,8,2003-05-10,16:00,Santos,santos,Cruzeiro,cruzeiro,0,2,2,-2,Vitoria Visitante,Cruzeiro, Vila Belmiro,SP,MG,,,,
87,2003,8,2003-05-10,16:00,Parana,parana,Ponte Preta,ponte_preta,3,2,5,1,Vitoria Mandante,Parana, Pinheirão,PR,SP,,,,
88,2003,8,2003-05-10,18:00,Corinthians,corinthians,Criciuma,criciuma,3,0,3,3,Vitoria Mandante,Corinthians, Pacaembu,SP,SC,,,,
89,2003,8,2003-05-11,16:00,Vasco,vasco,Bahia,bahia,1,1,2,0,Empate,-, São Januário,RJ,BA,,,,
90,2003,8,2003-05-11,16:00,Paysandu,paysandu,Fluminense,fluminense,2,2,4,0,Empate,-, Mangueirão,PA,RJ,,,,
91,2003,8,2003-05-11,16:00,Atletico-MG,atletico_mg,Sao Paulo,sao_paulo,2,2,4,0,Empate,-, Mineirão,MG,SP,,,,
92,2003,8,2003-05-11,16:00,Vitoria,vitoria,Fortaleza,fortaleza,2,1,3,1,Vitoria Mandante,Vitoria, Barradão,BA,CE,,,,
93,2003,8,2003-05-11,16:00,Guarani,guarani,Internacional,internacional,3,0,3,3,Vitoria Mandante,Guarani, Brinco de Ouro,SP,RS,,,,
94,2003,8,2003-05-11,16:00,Athletico-PR,athletico_pr,Juventude,juventude,2,0,2,2,Vitoria Mandante,Athletico-PR, Arena da Baixada,PR,RS,,,,
95,2003,8,2003-05-11,16:00,Figueirense,figueirense,Sao Caetano,sao_caetano,3,0,3,3,Vitoria Mandante,Figueirense, Orlando Scarpelli,SC,SP,,,,
96,2003,8,2003-05-11,18:00,Gremio,gremio,Coritiba,coritiba,1,0,1,1,Vitoria Mandante,Gremio, Olímpico,RS,PR,,,,
97,2003,9,2003-05-17,16:00,Fluminense,fluminense,Figueirense,figueirense,3,0,3,3,Vitoria Mandante,Fluminense, Maracanã,RJ,SC,,,,
98,2003,9,2003-05-17,16:00,Sao Caetano,sao_caetano,Atletico-MG,atletico_mg,2,0,2,2,Vitoria Mandante,Sao Caetano, Anacleto Campanella,SP,MG,,,,
99,2003,9,2003-05-17,18:00,Juventude,juventude,Santos,santos,1,1,2,0,Empate,-, Alfredo Jaconi,RS,SP,,,,
100,2003,9,2003-05-18,16:00,Bahia,bahia,Paysandu,paysandu,2,0,2,2,Vitoria Mandante,Bahia, Fonte Nova,BA,PA,,,,
101,2003,9,2003-05-18,16:00,Internacional,internacional,Athletico-PR,athletico_pr,1,1,2,0,Empate,-, Beira Rio,RS,PR,,,,
102,2003,9,2003-05-18,16:00,Coritiba,coritiba,Vasco,vasco,1,1,2,0,Empate,-, Couto Pereira,PR,RJ,,,,
103,2003,9,2003-05-18,16:00,Cruzeiro,cruzeiro,Corinthians,corinthians,1,1,2,0,Empate,-, Mineirão,MG,SP,,,,
104,2003,9,2003-05-18,16:00,Fortaleza,fortaleza,Goias,goias,1,0,1,1,Vitoria Mandante,Fortaleza, Castelão,CE,GO,,,,
105,2003,9,2003-05-18,16:00,Ponte Preta,ponte_preta,Gremio,gremio,2,1,3,1,Vitoria Mandante,Ponte Preta, Moisés Lucarelli,SP,RS,,,,
106,2003,9,2003-05-18,16:00,Criciuma,criciuma,Vitoria,vitoria,1,1,2,0,Empate,-, Heriberto Hulse,SC,BA,,,,
107,2003,9,2003-05-18,18:00,Flamengo,flamengo,Guarani,guarani,1,1,2,0,Empate,-, Maracanã,RJ,SP,,,,
