partida_id,temporada,serie,rodada,clube,clube_slug,momento,periodo,minuto_nominal,acrescimo,minuto_continuo,num_entrou,atleta_entrou,atleta_entrou_slug,num_saiu,atleta_saiu,atleta_saiu_slug
180,2026,A,18,São Paulo,sao_paulo,2T,2T,15,0,60,8,Marcos Antonio Silva Santos,marcos_antonio_silva_santos,17,Andre Oliveira Silva,andre_oliveira_silva
180,2026,A,18,Remo,remo,2T,2T,25,0,70,14,Leonel Marcelo Picco,leonel_marcelo_picco,28,José Welison da Silva,jose_welison_da_silva
180,2026,A,18,São Paulo,sao_paulo,2T,2T,27,0,72,38,Hugo Leonardo Nunes Fernande,hugo_leonardo_nunes_fernande,94,Daniel de Oliveira Sertanejo,daniel_de_oliveira_sertanejo
180,2026,A,18,São Paulo,sao_paulo,2T,2T,27,0,72,34,Perivan dos Santos,perivan_dos_santos,37,Artur Victor Guimaraes,artur_victor_guimaraes
180,2026,A,18,São Paulo,sao_paulo,2T,2T,27,0,72,45,Lucca Marques Alencar,lucca_marques_alencar,11,Aldemir dos Santos Ferreira,aldemir_dos_santos_ferreira
180,2026,A,18,Remo,remo,2T,2T,34,0,79,99,Gabriel Buscariol Poveda,gabriel_buscariol_poveda,55,Jose Ricardo Araujo Fernandes,jose_ricardo_araujo_fernandes
180,2026,A,18,Remo,remo,2T,2T,34,0,79,2,Matheus Alexandre Anastacio,matheus_alexandre_anastacio,22,Glaybson Yago Souza Lisboa,glaybson_yago_souza_lisboa
180,2026,A,18,Remo,remo,2T,2T,34,0,79,26,David Francisco Trindade Braga,david_francisco_trindade_braga,15,Vitor Frezarin Bueno,vitor_frezarin_bueno
180,2026,A,18,São Paulo,sao_paulo,2T,2T,40,0,85,14,Gonzalo Andrés Tapia Dubourn,gonzalo_andres_tapia_dubourn,9,Jonathan Calleri,jonathan_calleri
180,2026,A,18,Remo,remo,2T,2T,90,6,96,33,Diego Manuel Hernandez Gonza,diego_manuel_hernandez_gonza,79,Marcelo Rodrigues Souza,marcelo_rodrigues_souza
181,2026,A,19,Fluminense,fluminense,1T,1T,32,0,32,22,Juan Pablo Freytes,juan_pablo_freytes,29,Julian Camilo Millan Diaz,julian_camilo_millan_diaz
181,2026,A,19,Fluminense,fluminense,2T,2T,10,0,55,9,John Kennedy Batista de Souza,john_kennedy_batista_de_souza,11,Jefferson David Savarino Qui,jefferson_david_savarino_qui
181,2026,A,19,Fluminense,fluminense,2T,2T,10,0,55,17,Agustin Canobbio Graviz,agustin_canobbio_graviz,90,Kevin Steven Serna Jaramillo,kevin_steven_serna_jaramillo
181,2026,A,19,Red Bull Bragantino,red_bull_bragantino,2T,2T,22,0,67,30,Henry David Mosquera Sanchez,henry_david_mosquera_sanchez,32,Jose Maria Herrera Ares,jose_maria_herrera_ares
181,2026,A,19,Red Bull Bragantino,red_bull_bragantino,2T,2T,22,0,67,34,Jose Andres Hurtado Cheme,jose_andres_hurtado_cheme,8,Eduardo Colcenti Antunes,eduardo_colcenti_antunes
181,2026,A,19,Fluminense,fluminense,2T,2T,33,0,78,14,German Ezequiel Cano,german_ezequiel_cano,35,Hercules Pereira do Nascimento,hercules_pereira_do_nascimento
181,2026,A,19,Red Bull Bragantino,red_bull_bragantino,2T,2T,39,0,84,35,Matheus Fernandes Siqueira,matheus_fernandes_siqueira,7,Eric dos Santos Rodrigues,eric_dos_santos_rodrigues
181,2026,A,19,Red Bull Bragantino,red_bull_bragantino,2T,2T,39,0,84,14,Pedro Henrique Ribeiro Gonca,pedro_henrique_ribeiro_gonca,11,Fernando dos Santos Pedro,fernando_dos_santos_pedro
181,2026,A,19,Red Bull Bragantino,red_bull_bragantino,2T,2T,90,1,91,5,Fabio Silva de Freitas,fabio_silva_de_freitas,20,Rodrigo Huendra Almeida Mend,rodrigo_huendra_almeida_mend
182,2026,A,19,Santos FC,santos_fc,2T,2T,8,0,53,28,Christian Gabriel Oliva Gime,christian_gabriel_oliva_gime,48,Gustavo Henrique Pereira,gustavo_henrique_pereira
182,2026,A,19,Santos FC,santos_fc,2T,2T,18,0,63,57,Nadson Juan Maia da Silva de,nadson_juan_maia_da_silva_de,30,Miguel Angel Terceros Acuna,miguel_angel_terceros_acuna
182,2026,A,19,Santos FC,santos_fc,2T,2T,18,0,63,11,Ronielson da Silva Barbosa,ronielson_da_silva_barbosa,16,Thaciano Mickael da Silva,thaciano_mickael_da_silva
182,2026,A,19,Botafogo,botafogo,2T,2T,18,0,63,23,Santiago Mariano Rodriguez M,santiago_mariano_rodriguez_m,11,Matheus Martins Silva dos Sa,matheus_martins_silva_dos_sa
182,2026,A,19,Santos FC,santos_fc,2T,2T,25,0,70,25,Gabriel Vinicius Menino,gabriel_vinicius_menino,18,Igor Vinicius de Souza,igor_vinicius_de_souza
182,2026,A,19,Santos FC,santos_fc,2T,2T,25,0,70,49,Gabriel Morais Silva Bontempo,gabriel_morais_silva_bontempo,32,Benjamin Rollheiser,benjamin_rollheiser
182,2026,A,19,Botafogo,botafogo,2T,2T,32,0,77,37,Jose Kadir Barria Rose,jose_kadir_barria_rose,59,Kauan Almeida Toledo,kauan_almeida_toledo
182,2026,A,19,Botafogo,botafogo,2T,2T,32,0,77,88,Edenilson Andrade dos Santos,edenilson_andrade_dos_santos,79,Lucas Emanuel Jales do Nasci,lucas_emanuel_jales_do_nasci
182,2026,A,19,Botafogo,botafogo,2T,2T,40,0,85,21,Fernando Marcal de Oliveira,fernando_marcal_de_oliveira,13,Alex Nicolao Telles,alex_nicolao_telles
182,2026,A,19,Botafogo,botafogo,2T,2T,40,0,85,4,Mateo Ponte Costa,mateo_ponte_costa,2,Victor Alexander da Silva,victor_alexander_da_silva
183,2026,A,19,São Paulo,sao_paulo,1T,1T,22,0,22,54,Luis Osorio Messias de Olive,luis_osorio_messias_de_olive,2,Rafael Toloi,rafael_toloi
183,2026,A,19,São Paulo,sao_paulo,2T,2T,18,0,63,17,Andre Oliveira Silva,andre_oliveira_silva,9,Jonathan Calleri,jonathan_calleri
183,2026,A,19,São Paulo,sao_paulo,2T,2T,18,0,63,11,Aldemir dos Santos Ferreira,aldemir_dos_santos_ferreira,29,Pablo Gonçalves Maia Fortuna,pablo_goncalves_maia_fortuna
183,2026,A,19,São Paulo,sao_paulo,2T,2T,29,0,74,94,Daniel de Oliveira Sertanejo,daniel_de_oliveira_sertanejo,16,Damian Josue Bobadilla Benitez,damian_josue_bobadilla_benitez
183,2026,A,19,São Paulo,sao_paulo,2T,2T,29,0,74,27,Joao Victor Santos Sa,joao_victor_santos_sa,19,Lucas Ramon Batista Silva,lucas_ramon_batista_silva
183,2026,A,19,Athletico Paranaense,athletico_paranaense,2T,2T,30,0,75,11,Isaac Rodrigues de Lima,isaac_rodrigues_de_lima,21,Leonardo Caetano Silva,leonardo_caetano_silva
183,2026,A,19,Athletico Paranaense,athletico_paranaense,2T,2T,37,0,82,2,Gilberto Junior Leite dos Sa,gilberto_junior_leite_dos_sa,12,Gilberto Moraes Junior,gilberto_moraes_junior
