partida_id,temporada,serie,rodada,clube,clube_slug,num_camisa,apelido,nome_completo,nome_truncado,atleta_slug,apelido_slug,condicao,goleiro,presente,registro_cbf
2,2026,A,1,Botafogo,botafogo,2,Vitinho,Victor Alexander da Silva,False,victor_alexander_da_silva,vitinho,Titular,False,True,458582
2,2026,A,1,Botafogo,botafogo,4,Mateo Ponte,Mateo Ponte Costa,False,mateo_ponte_costa,mateo_ponte,Titular,False,True,821261
2,2026,A,1,Botafogo,botafogo,7,Artur,Artur Victor Guimaraes,False,artur_victor_guimaraes,artur,Reserva,False,True,419646
2,2026,A,1,Botafogo,botafogo,8,Danilo Santos,Danilo dos Santos de,True,danilo_santos,danilo_santos,Titular,False,True,540357
2,2026,A,1,Botafogo,botafogo,10,Montoro,Alvaro Montoro,False,alvaro_montoro,montoro,Titular,False,True,919476
2,2026,A,1,Botafogo,botafogo,11,Matheus Ma ...,Matheus Martins Silv,True,matheus_ma,matheus_ma,Reserva,False,True,600636
2,2026,A,1,Botafogo,botafogo,13,Alex Telles,Alex Nicolao Telles,False,alex_nicolao_telles,alex_telles,Titular,False,True,297016
2,2026,A,1,Botafogo,botafogo,14,Jordan Bar ...,Jordan Andres Barrer,True,jordan_bar,jordan_bar,Reserva,False,True,923957
2,2026,A,1,Botafogo,botafogo,15,Bastos,Bartolomeu Jacinto Q,True,bastos,bastos,Reserva,False,True,825297
2,2026,A,1,Botafogo,botafogo,16,Nathan Fer ...,Nathan Ribeiro Fernandes,False,nathan_ribeiro_fernandes,nathan_fer,Reserva,False,True,656191
2,2026,A,1,Botafogo,botafogo,19,Arthur,Arthur Mendonça Cabral,False,arthur_mendonca_cabral,arthur,Titular,False,True,518820
2,2026,A,1,Botafogo,botafogo,20,Alexander  ...,Alexander Nahuel Bar,True,alexander,alexander,Titular,False,True,836858
2,2026,A,1,Botafogo,botafogo,21,Marçal,Fernando Marcal de O,True,marcal,marcal,Reserva,False,True,177745
2,2026,A,1,Botafogo,botafogo,22,Neto,Norberto Murara Neto,False,norberto_murara_neto,neto,Titular,True,True,167605
2,2026,A,1,Botafogo,botafogo,23,Santiago,Santiago Mariano Rod,True,santiago,santiago,Titular,False,True,896991
2,2026,A,1,Botafogo,botafogo,24,Leo Linck,Leonardo Matias Baie,True,leo_linck,leo_linck,Reserva,True,True,523801
2,2026,A,1,Botafogo,botafogo,25,Allan,Allan Marques Loureiro,False,allan_marques_loureiro,allan,Titular,False,True,184906
2,2026,A,1,Botafogo,botafogo,28,Newton,Newton Araujo da Cos,True,newton,newton,Titular,False,True,628110
2,2026,A,1,Botafogo,botafogo,37,Jose Kadir,Jose Kadir Barria Rose,False,jose_kadir_barria_rose,jose_kadir,Reserva,False,True,925716
2,2026,A,1,Botafogo,botafogo,39,Arthur,Arthur Izaque Benday,True,arthur,arthur,Reserva,False,True,719167
2,2026,A,1,Botafogo,botafogo,42,Carlos Santos,Carlos Eduardo da Si,True,carlos_santos,carlos_santos,Reserva,False,True,678667
2,2026,A,1,Botafogo,botafogo,48,Arthur,Arthur Alves Novaes,False,arthur_alves_novaes,arthur,Reserva,False,True,785060
2,2026,A,1,Botafogo,botafogo,59,Kauan,Kauan Almeida Toledo,False,kauan_almeida_toledo,kauan,Reserva,False,True,691258
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,1,Cássio,Cassio Ramos,False,cassio_ramos,cassio,Titular,True,True,166276
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,6,Kaiki Bruno,Kaiki Bruno da Silva,False,kaiki_bruno_da_silva,kaiki_bruno,Titular,False,True,541008
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,8,Matheus He ...,Matheus Henrique de Souza,False,matheus_henrique_de_souza,matheus_he,Reserva,False,True,407776
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,10,Matheus Pe ...,Matheus Fellipe Cost,True,matheus_pe,matheus_pe,Titular,False,True,819091
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,11,Gerson,Gerson Santos da Silva,False,gerson_santos_da_silva,gerson,Titular,False,True,310733
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,12,William,William de Asevedo F,True,william,william,Reserva,False,True,309438
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,15,Fabrício  ...,Fabricio Bruno Soare,True,fabricio,fabricio,Titular,False,True,389228
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,16,Lucas Silva,Lucas Silva Borges,False,lucas_silva_borges,lucas_silva,Titular,False,True,320111
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,19,Kaio Jorge,Kaio Jorge Pinto Ramos,False,kaio_jorge_pinto_ramos,kaio_jorge,Titular,False,True,541499
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,22,Neiser,Neiser David Villare,True,neiser,neiser,Reserva,False,True,943270
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,23,Fagner,Fagner Conserva Lemos,False,fagner_conserva_lemos,fagner,Titular,False,True,177050
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,29,Lucas Romero,Lucas Daniel Romero,False,lucas_daniel_romero,lucas_romero,Titular,False,True,541523
2,2026,A,1,Cruzeiro Saf,cruzeiro_saf,33,JOSE,Jose Janderson da Si,True,jose,jose,Reserva,False,True,689416
