partida_id,temporada,rodada,clube,clube_slug,chutes,chutes_no_alvo,posse_de_bola_pct,passes,precisao_passes_pct,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,scouts_validos
29,2003,4,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
30,2003,4,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
30,2003,4,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
31,2003,4,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
31,2003,4,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
32,2003,4,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
32,2003,4,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
33,2003,4,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
33,2003,4,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
34,2003,4,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
34,2003,4,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
35,2003,4,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
35,2003,4,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
36,2003,4,Goias,goias,0,0,,0,,0,0,0,0,0,False
36,2003,4,Parana,parana,0,0,,0,,0,0,0,0,0,False
144,2003,12,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
144,2003,12,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
49,2003,5,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
49,2003,5,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
50,2003,5,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
50,2003,5,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
51,2003,5,Santos,santos,0,0,,0,,0,0,0,0,0,False
51,2003,5,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
52,2003,5,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
52,2003,5,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
53,2003,5,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
53,2003,5,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
54,2003,5,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
54,2003,5,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
55,2003,5,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
55,2003,5,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
56,2003,5,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
56,2003,5,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
57,2003,5,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
57,2003,5,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
58,2003,5,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
58,2003,5,Goias,goias,0,0,,0,,0,0,0,0,0,False
