partida_id,temporada,rodada,clube,clube_slug,atleta,atleta_slug,minuto_continuo,minuto_nominal,acrescimo,periodo,tipo_de_gol
6860,2019,36,Goias,goias,Rafael Moura,rafael_moura,43,43,0,1T,Normal
6861,2019,36,Bahia,bahia,Arthur Caike do Nascimento Cruz,arthur_caike_do_nascimento_cruz,86,86,0,2T,Normal
6861,2019,36,CSA,csa,Nílton Ferreira Júnior,nilton_ferreira_junior,55,55,0,2T,Normal
6861,2019,36,Bahia,bahia,Gilberto Oliveira Souza Junior,gilberto_oliveira_souza_junior,32,32,0,1T,Normal
6862,2019,36,Atletico-MG,atletico_mg,Fábio Santos,fabio_santos,74,74,0,2T,Penalty
6862,2019,36,Atletico-MG,atletico_mg,Juan Cazares,juan_cazares,19,19,0,1T,Normal
6862,2019,36,Corinthians,corinthians,Janderson,janderson,20,20,0,1T,Normal
6863,2019,36,Santos,santos,Evandro Goebel,evandro_goebel,49,49,0,2T,Normal
6863,2019,36,Santos,santos,Lucas Veríssimo,lucas_verissimo,8,8,0,1T,Normal
6864,2019,36,Gremio,gremio,Luciano da Rocha Neves,luciano_da_rocha_neves,62,62,0,2T,Normal
6864,2019,36,Gremio,gremio,Luciano da Rocha Neves,luciano_da_rocha_neves,56,56,0,2T,Penalty
6864,2019,36,Gremio,gremio,Alisson Euler de Freitas Castro,alisson_euler_de_freitas_castro,58,58,0,2T,Normal
6865,2019,36,Vasco,vasco,Fredy Guarín,fredy_guarin,10,10,0,1T,Normal
6866,2019,37,Athletico-PR,athletico_pr,Marco Ruben,marco_ruben,47,47,0,2T,Normal
6868,2019,37,Atletico-MG,atletico_mg,Jair Rodrigues Júnior,jair_rodrigues_junior,41,41,0,1T,Normal
6868,2019,37,Atletico-MG,atletico_mg,Luan Madson Gedeão de Paiva,luan_madson_gedeao_de_paiva,68,68,0,2T,Normal
6867,2019,37,Corinthians,corinthians,Gustavo,gustavo,81,81,0,2T,Normal
6869,2019,37,Chapecoense,chapecoense,Gustavo Campanharo,gustavo_campanharo,2,2,0,1T,Normal
6869,2019,37,Chapecoense,chapecoense,Arthur Gomes,arthur_gomes,59,59,0,2T,Normal
6869,2019,37,Chapecoense,chapecoense,Maurício Ramos,mauricio_ramos,79,79,0,2T,Normal
6871,2019,37,Sao Paulo,sao_paulo,Vitor Bueno,vitor_bueno,49,49,0,2T,Normal
6871,2019,37,Internacional,internacional,Guilherme Parede,guilherme_parede,70,70,0,2T,Normal
6871,2019,37,Sao Paulo,sao_paulo,Antony Matheus dos Santos,antony_matheus_dos_santos,16,16,0,1T,Normal
6872,2019,37,Gremio,gremio,Aldemir Ferreira,aldemir_ferreira,67,67,0,2T,Normal
6872,2019,37,Gremio,gremio,Pepê,pepe,85,85,0,2T,Penalty
6873,2019,37,Palmeiras,palmeiras,Eduardo Pereira Rodrigues,eduardo_pereira_rodrigues,34,34,0,1T,Normal
6873,2019,37,Palmeiras,palmeiras,Eduardo Pereira Rodrigues,eduardo_pereira_rodrigues,82,82,0,2T,Normal
6873,2019,37,Palmeiras,palmeiras,Gabriel Veron,gabriel_veron,70,70,0,2T,Normal
6873,2019,37,Palmeiras,palmeiras,José Rafael Vivian,jose_rafael_vivian,22,22,0,1T,Normal
6873,2019,37,Palmeiras,palmeiras,Gabriel Veron,gabriel_veron,90,90,0,2T,Normal
6873,2019,37,Goias,goias,Rafael Moura,rafael_moura,27,27,0,1T,Penalty
6874,2019,37,Vasco,vasco,Marrony,marrony,85,85,0,2T,Normal
6874,2019,37,Bahia,bahia,Gilberto Oliveira Souza Junior,gilberto_oliveira_souza_junior,45,45,0,1T,Penalty
6875,2019,37,Flamengo,flamengo,Lincoln Corrêa dos Santos,lincoln_correa_dos_santos,57,57,0,2T,Normal
6875,2019,37,Flamengo,flamengo,Giorgian De Arrascaeta,giorgian_de_arrascaeta,11,11,0,1T,Normal
6875,2019,37,Flamengo,flamengo,Reinier,reinier,84,84,0,2T,Normal
6875,2019,37,Flamengo,flamengo,Diego Ribas,diego_ribas,37,37,0,1T,Normal
6875,2019,37,Flamengo,flamengo,Reinier,reinier,89,89,0,2T,Normal
6875,2019,37,Flamengo,flamengo,Gabriel Barbosa,gabriel_barbosa,39,39,0,1T,Normal
6875,2019,37,Avai,avai,Lourenço,lourenco,22,22,0,1T,Normal
6876,2019,38,Corinthians,corinthians,Gustavo,gustavo,63,63,0,2T,Normal
