partida_id,temporada,rodada,clube,clube_slug,cartao,atleta,atleta_slug,num_camisa,posicao,minuto_continuo,minuto_nominal,acrescimo,periodo
8467,2024,7,Vitoria,vitoria,Vermelho,Dudu,dudu,21,Meio-campo,83,83,0,2T
8467,2024,7,Vitoria,vitoria,Amarelo,Lepu,lepu,97,Zagueiro,29,29,0,1T
8467,2024,7,Atletico-GO,atletico_go,Amarelo,Shaylon,shaylon,10,Atacante,24,24,0,1T
8466,2024,7,Gremio,gremio,Amarelo,Mathías Villasanti,mathias_villasanti,20,Meio-campo,62,62,0,2T
8466,2024,7,Gremio,gremio,Amarelo,Fabio Pereira da Silva,fabio_pereira_da_silva,2,Zagueiro,23,23,0,1T
8466,2024,7,Bragantino,bragantino,Amarelo,Nathan,nathan,45,Zagueiro,89,89,0,2T
8466,2024,7,Gremio,gremio,Amarelo,Gustavo Nunes,gustavo_nunes,39,Meio-campo,50,50,0,2T
8466,2024,7,Gremio,gremio,Amarelo,Du Queiroz,du_queiroz,37,Meio-campo,19,19,0,1T
8466,2024,7,Bragantino,bragantino,Amarelo,Vitor Hugo Naum dos Santos,vitor_hugo_naum_dos_santos,28,Atacante,85,85,0,2T
8468,2024,7,Fluminense,fluminense,Amarelo,Martinelli,martinelli,8,Meio-campo,65,65,0,2T
8468,2024,7,Juventude,juventude,Amarelo,Jadson,jadson,16,Meio-campo,91,90,1,2T
8468,2024,7,Juventude,juventude,Amarelo,Werik Popó,werik_popo,45,Atacante,76,76,0,2T
8468,2024,7,Juventude,juventude,Vermelho,Werik Popó,werik_popo,45,Atacante,84,84,0,2T
8468,2024,7,Fluminense,fluminense,Amarelo,Paulo Henrique Ganso,paulo_henrique_ganso,10,Meio-campo,48,45,3,1T
8468,2024,7,Juventude,juventude,Amarelo,Zé Marcos,ze_marcos,3,Zagueiro,82,82,0,2T
8469,2024,7,Cuiaba,cuiaba,Amarelo,Ramon Ramos Lima,ramon_ramos_lima,23,Zagueiro,77,77,0,2T
8469,2024,7,Cuiaba,cuiaba,Amarelo,Clayson,clayson,25,Atacante,40,40,0,1T
8469,2024,7,Internacional,internacional,Amarelo,Sergio Rochet,sergio_rochet,1,Goleiro,93,90,3,2T
8469,2024,7,Internacional,internacional,Amarelo,Rafael Santos Borré,rafael_santos_borre,19,Atacante,19,19,0,1T
8469,2024,7,Cuiaba,cuiaba,Amarelo,Eliel,eliel,11,Atacante,82,82,0,2T
8469,2024,7,Cuiaba,cuiaba,Amarelo,Denilson,denilson,27,Meio-campo,50,50,0,2T
8469,2024,7,Internacional,internacional,Amarelo,Alan Patrick,alan_patrick,10,Meio-campo,95,90,5,2T
8469,2024,7,Internacional,internacional,Amarelo,Gabriel Mercado,gabriel_mercado,25,Zagueiro,77,77,0,2T
8470,2024,7,Corinthians,corinthians,Amarelo,Wesley Gassova Ribeiro Teixeira,wesley_gassova_ribeiro_teixeira,36,Atacante,34,34,0,1T
8470,2024,7,Botafogo-RJ,botafogo_rj,Amarelo,Danilo Barbosa da Silva,danilo_barbosa_da_silva,5,Meio-campo,71,71,0,2T
8470,2024,7,Botafogo-RJ,botafogo_rj,Amarelo,Luiz Henrique,luiz_henrique,7,Meio-campo,29,29,0,1T
8470,2024,7,Corinthians,corinthians,Amarelo,Félix Torres,felix_torres,3,Zagueiro,40,40,0,1T
8470,2024,7,Botafogo-RJ,botafogo_rj,Amarelo,Marlon Freitas,marlon_freitas,17,Meio-campo,79,79,0,2T
8470,2024,7,Botafogo-RJ,botafogo_rj,Amarelo,Óscar Romero,oscar_romero,70,Meio-campo,64,64,0,2T
8471,2024,7,Vasco,vasco,Vermelho,João Victor,joao_victor,38,Zagueiro,49,45,4,1T
