temporada,clube_slug,tem_patrocinio_bet,tipo_patrocinio_bet,marca_principal_bet,num_marcas_bet,fonte_informacao,score_posicao,score_quantidade,trends_normalizado_medio,fase_regulatoria,score_macro,bet_exposure_clube,bet_exposure_total,categoria_exposicao_clube
2015,athletico_pr,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,atletico_mg,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,avai,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,chapecoense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,corinthians,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,coritiba,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,cruzeiro,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,figueirense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,flamengo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,fluminense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,goias,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,gremio,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,internacional,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,joinville,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,palmeiras,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,ponte_preta,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,santos,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,sao_paulo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,sport,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2015,vasco,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0244,Pre-Legalizacao,0.0244,0.0,0.0061,Nenhuma
2016,america_mg,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,athletico_pr,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,atletico_mg,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,botafogo_rj,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,chapecoense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,corinthians,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,coritiba,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,cruzeiro,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,figueirense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,flamengo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,fluminense,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,gremio,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,internacional,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,palmeiras,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,ponte_preta,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,santa_cruz,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,santos,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,sao_paulo,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,sport,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2016,vitoria,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0233,Pre-Legalizacao,0.0233,0.0,0.0058,Nenhuma
2017,athletico_pr,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0334,Pre-Legalizacao,0.0334,0.0,0.0084,Nenhuma
2017,atletico_go,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0334,Pre-Legalizacao,0.0334,0.0,0.0084,Nenhuma
2017,atletico_mg,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0334,Pre-Legalizacao,0.0334,0.0,0.0084,Nenhuma
2017,avai,False,nenhum,Nenhum,0,IBOPE Repucom / Histórico,0.0,0.0,0.0334,Pre-Legalizacao,0.0334,0.0,0.0084,Nenhuma
