temporada,serie,clube_slug,registro_cbf,apelido,atleta_slug,num_camisa,partidas_relacionado,partidas_jogadas,partidas_como_titular,minutos_em_campo,media_minutos_por_jogo
2022,B,brusque,568353,Paulo Baya,paulo_baya,62,19,18,6,640,35.6
2022,B,csa,169000,Bruno Mezenga,bruno_mezenga,25,25,13,6,633,48.7
2022,B,brusque,295153,Ruan,ruan,21,18,7,7,630,90.0
2022,B,cruzeiro_saf,307508,F. Canesin,fernando_canesin_matos,55,18,11,7,629,57.2
2022,B,sport,302436,Ezequiel,ezequiel_jacinto_de_biasi,22,32,11,7,629,57.2
2022,B,londrina,383830,Mossoro,mossoro,7,21,16,7,626,39.1
2022,B,chapecoense,313072,Derek,derek_freitas_ribeiro,20,27,21,4,623,29.7
2022,B,gremio,505058,Ferreira,ferreira,10,9,9,8,616,68.4
2022,B,crb,525941,Wallace,wallace_madeira_almeida,18,17,13,6,614,47.2
2022,B,guarani,348203,Silas,silas_araujo_da_silva,96,22,13,7,614,47.2
2022,B,criciuma,541170,Henriquez,henriquez,4,15,9,6,613,68.1
2022,B,nautico,551375,Rhaldney,rhaldney,8,9,9,8,608,67.6
2022,B,guarani,672172,RICHARD,richard_rios_montoya,18,13,9,5,606,67.3
2022,B,sampaio_correa,466733,Gabriel Fu ...,gabriel_fu,17,24,8,6,605,75.6
2022,B,guarani,164170,Castan,leandro_castan_da_silva,5,9,8,6,603,75.4
2022,B,nautico,450056,Arthur Hen ...,arthur_hen,13,14,9,7,601,66.8
2022,B,csa,368444,Guilherme,guilherme_mendes_da_silva,13,12,7,6,597,85.3
2022,B,sampaio_correa,301503,Renatinho,renato_vieira_rodrigues,10,31,18,6,592,32.9
2022,B,chapecoense,556127,Claudinho,claudinho,19,24,18,6,590,32.8
2022,B,nautico,621112,Julio,julio,19,19,15,6,587,39.1
2022,B,londrina,310382,Matheus Al ...,matheus_albino_carneiro,22,36,7,6,586,83.7
2022,B,nautico,388312,Cleidson,cleidson,4,7,7,7,585,83.6
2022,B,csa,323819,Felipe Aug ...,felipe_aug,7,28,13,6,584,44.9
2022,B,ituano,347998,Brenner,brenner,19,9,9,7,576,64.0
2022,B,bahia,553190,Copete,jonathan_copete_valencia,36,19,13,5,573,44.1
2022,B,londrina,344194,Denilson,denilson,14,31,15,5,571,38.1
2022,B,cruzeiro_saf,174364,Romulo C.,romulo_c,8,27,11,4,568,51.6
2022,B,sampaio_correa,465956,Nadson,nadson_da_silva_mesquita,20,19,14,4,568,40.6
2022,B,vila_nova,316763,Victor And ...,victor_andrade_santos,11,9,8,6,567,70.9
2022,B,vasco_da_gama,714251,Palacios,palacios,19,18,17,4,566,33.3
2022,B,cruzeiro_saf,318679,Rafael,rafael_da_silva,17,19,16,6,563,35.2
2022,B,nautico,415072,Amarildo,amarildo,17,21,15,6,559,37.3
2022,B,nautico,526621,Thomaz Costa,thomaz_carvalho_costa,14,18,12,7,552,46.0
2022,B,csa,347212,Douglas,douglas,30,27,8,7,548,68.5
2022,B,csa,317454,Rickson,rickson,21,11,7,6,546,78.0
2022,B,sampaio_correa,531144,Leonardo,leonardo,18,15,13,4,546,42.0
2022,B,brusque,177605,Beliato,aparecido_beliato_junior,12,24,6,6,540,90.0
2022,B,ponte_preta,183874,Fabricio,fabricio_silva_dornellas,4,11,7,5,536,76.6
2022,B,londrina,409664,Leandro,leandro,9,8,8,7,527,65.9
2022,B,chapecoense,401045,Jonathan,jonathan,23,28,20,4,524,26.2
2022,B,cruzeiro_saf,459574,Adriano,adriano,15,20,15,4,522,34.8
2022,B,gremio,434738,Rodrigues,rodrigues,26,18,7,6,519,74.1
2022,B,brusque,529687,Franklin,franklin,29,10,9,6,517,57.4
2022,B,brusque,309437,Patrick Ca ...,patrick_ca,17,15,10,5,515,51.5
2022,B,criciuma,335249,Italo,italo_melo_oliveira,10,12,10,6,515,51.5
2022,B,guarani,178875,Ernando,ernando_rodrigues_lopes,14,21,8,6,514,64.2
2022,B,sport,502079,Denner,denner_fernando_melz,88,18,17,7,513,30.2
2022,B,vasco_da_gama,165709,Leo Matos,leonardo_de_matos_cruz,3,13,8,5,512,64.0
2022,B,crb,542286,Guilherme,guilherme,13,19,8,5,511,63.9
2022,B,sport,749414,RAY VANEGAS,ray_andres_vanegas_zuniga,11,26,19,2,510,26.8
2022,B,tombense,337271,Matheus Fr ...,matheus_henrique_frizzo,19,17,12,5,503,41.9
2022,B,brusque,407221,BILL,gabriel_pereira_taliari,99,18,16,4,502,31.4
2022,B,criciuma,366782,Lucas,lucas_da_silva_xavier,20,26,14,5,501,35.8
2022,B,csa,385005,Marco,marco,21,12,10,5,501,50.1
2022,B,londrina,443362,Marcinho,marcio_rodrigues_velasco,18,18,10,4,496,49.6
2022,B,nautico,336999,Leo,leonardo_da_silva_passos,11,9,9,6,496,55.1
2022,B,criciuma,328561,Kadu,kadu_ribeiro_durval,14,13,6,6,495,82.5
2022,B,guarani,305521,Jenison,jenison,91,12,10,5,493,49.3
2022,B,vasco_da_gama_s_a_f,177753,Alex,alex_teixeira_santos,7,12,10,5,488,48.8
2022,B,vasco_da_gama,350899,Getulio,getulio,99,16,14,6,487,34.8
2022,B,chapecoense,303766,Maranhão,maranhao,11,16,11,7,486,44.2
2022,B,novorizontino,671013,Ramon Mart ...,ramon_martinez_lopez,5,12,11,5,486,44.2
2022,B,cruzeiro_saf,423003,Rodolfo,rodolfo,33,27,18,3,480,26.7
2022,B,guarani,778423,Alexis Ivan,alexis_ivan_alvarino,5,9,6,6,478,79.7
2022,B,gremio,590905,Gabriel Silva,gabriel_silva,59,34,15,3,475,31.7
2022,B,cruzeiro_saf,297781,Pedro Castro,pedro_castro,21,29,13,5,474,36.5
2022,B,sampaio_correa,178927,Paulo Sergio,paulo_sergio,3,10,7,6,470,67.1
2022,B,crb,527028,Bruno,bruno,17,17,14,4,469,33.5
2022,B,brusque,402841,Edilson,edilson,13,23,11,4,466,42.4
2022,B,vasco_da_gama,537549,Weverton,weverton,17,17,11,4,466,42.4
2022,B,gremio,391953,Thaciano,thaciano_mickael_da_silva,28,14,13,4,463,35.6
2022,B,ituano,338847,Filipe,filipe_alexandre_da_costa,12,24,6,6,460,76.7
2022,B,chapecoense,422352,Darlan,darlan_pereira_mendes,37,16,13,4,458,35.2
2022,B,crb,526644,Brayan,bryan_grabriel_fernandes,16,22,11,4,456,41.5
2022,B,csa,630830,EDSON,edson_lucas_pereira,16,22,11,4,453,41.2
2022,B,operario,341345,Marcelo,marcelo_oliveira_pinto,18,7,7,6,453,64.7
2022,B,tombense,296811,Bruno,bruno_da_mota_miranda,21,17,16,3,453,28.3
2022,B,novorizontino,605436,HELIO,helio_cunha_borges,23,25,17,2,452,26.6
2022,B,vila_nova,523119,Railan,railan_reis_ferreira,2,17,14,2,452,32.3
2022,B,crb,562362,Jalysson,jalysson,13,23,10,4,450,45.0
2022,B,novorizontino,387277,Joao,joao_pedro_de_giuli,15,22,10,3,450,45.0
2022,B,novorizontino,461649,Vini,vini,1,23,5,5,450,90.0
2022,B,sampaio_correa,324710,Matheus,matheus_francisco_inacio,1,14,5,5,448,89.6
2022,B,sport,381047,Everton Fe ...,everton_fe,10,10,8,5,447,55.9
2022,B,sport,749422,BLAS CACERES,blas_caceres,21,24,12,5,446,37.2
2022,B,vasco_da_gama,372403,Zé Gabriel,ze_gabriel,23,24,8,5,446,55.8
2022,B,vasco_da_gama,456006,Danilo Boza,danilo_boza_junior,26,23,7,4,437,62.4
2022,B,ituano,158972,Carlão,carlao,14,13,8,5,435,54.4
2022,B,londrina,614207,Peu,danilo_de_souza_lima,20,17,14,3,435,31.1
2022,B,bahia,404367,Djalma,djalma,54,18,9,4,422,46.9
2022,B,nautico,177458,Mauricio,mauricio,4,6,6,6,420,70.0
2022,B,sport,513348,Jaderson,jaderson_flores_dos_reis,20,18,9,5,412,45.8
2022,B,sport,168092,Wanderson,wanderson,77,16,15,0,407,27.1
2022,B,vasco_da_gama,349759,Erick,erick,77,13,9,4,407,45.2
2022,B,bahia,442105,Caio,caio_vidal_rocha,20,8,8,5,405,50.6
2022,B,tombense,415008,Anderson,anderson,3,20,5,5,403,80.6
2022,B,tombense,410715,Emerson,emerson,16,14,6,5,400,66.7
