partida_id,temporada,serie,rodada,clube,clube_slug,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,tipo_de_gol
19,2022,B,2,Cruzeiro Saf,cruzeiro_saf,Eduardo Nascimento da Silva Junior,eduardo_nascimento_da_silva_junior,99,37,0,82,2T,Normal
21,2022,B,3,Ponte Preta,ponte_preta,Lucca Borges de Brito,lucca_borges_de_brito,10,23,0,23,1T,Normal
22,2022,B,3,Bahia,bahia,Luiz Otavio da Silva Santos,luiz_otavio_da_silva_santos,3,15,0,15,1T,Normal
22,2022,B,3,CSA,csa,Dalberto Luan Belo,dalberto_luan_belo,28,44,0,44,1T,Normal
23,2022,B,3,Náutico,nautico,Nilton Soares Rodrigues,nilton_soares_rodrigues,7,33,0,33,1T,Normal
23,2022,B,3,Náutico,nautico,Luis Phelipe de Souza Figueiredo,luis_phelipe_de_souza_figueiredo,17,33,0,78,2T,Normal
24,2022,B,3,Criciúma,criciuma,Marcelo Hermes,marcelo_hermes,6,13,0,13,1T,Normal
24,2022,B,3,Sport,sport,Luciano Batista da Silva Junior,luciano_batista_da_silva_junior,46,7,0,52,2T,Normal
25,2022,B,3,Ituano,ituano,Rafael Elias da Silva,rafael_elias_da_silva,9,34,0,34,1T,Penalty
25,2022,B,3,Ituano,ituano,Rafael Elias da Silva,rafael_elias_da_silva,9,42,0,42,1T,Normal
25,2022,B,3,Ituano,ituano,Aylon Darwin Tavella,aylon_darwin_tavella,10,3,0,48,2T,Normal
25,2022,B,3,Vila Nova,vila_nova,Daniel Amorim Dias da Silva,daniel_amorim_dias_da_silva,9,20,0,65,2T,Normal
26,2022,B,3,Novorizontino,novorizontino,Jhony Douglas Santiago,jhony_douglas_santiago,5,14,0,14,1T,Normal
26,2022,B,3,Londrina,londrina,Augusto de Souza Silva,augusto_de_souza_silva,20,30,0,30,1T,Normal
27,2022,B,3,Grêmio,gremio,Diego de Souza Andrade,diego_de_souza_andrade,29,1,0,1,1T,Normal
27,2022,B,3,Guarani,guarani,Matheus Pereira de Souza,matheus_pereira_de_souza,16,25,0,25,1T,Normal
27,2022,B,3,Grêmio,gremio,Diego de Souza Andrade,diego_de_souza_andrade,29,40,0,40,1T,Normal
27,2022,B,3,Grêmio,gremio,Diego de Souza Andrade,diego_de_souza_andrade,29,14,0,59,2T,Normal
28,2022,B,3,Sampaio Corrêa,sampaio_correa,Eronildo dos Santos Rocha,eronildo_dos_santos_rocha,9,16,0,16,1T,Penalty
28,2022,B,3,Sampaio Corrêa,sampaio_correa,André Luiz Guimarães Siqueira Junior,andre_luiz_guimaraes_siqueira_junior,5,11,0,56,2T,Normal
28,2022,B,3,Sampaio Corrêa,sampaio_correa,Rafael Oliveira Silva,rafael_oliveira_silva,10,27,0,72,2T,Normal
28,2022,B,3,Brusque,brusque,Fernando Jose Marques Maciel,fernando_jose_marques_maciel,11,90,1,91,2T,Normal
29,2022,B,3,Tombense,tombense,Jociel Ferreira da Silva,jociel_ferreira_da_silva,99,12,0,57,2T,Penalty
29,2022,B,3,Cruzeiro Saf,cruzeiro_saf,Eduardo Schroeder Brock,eduardo_schroeder_brock,14,43,0,88,2T,Penalty
31,2022,B,4,Guarani,guarani,Diogo Mateus de Almeida Rodrigues Maciel,diogo_mateus_de_almeida_rodrigues_maciel,13,26,0,71,2T,Normal
32,2022,B,4,Crb,crb,Richard Alexandre Birkheun Rodrigues,richard_alexandre_birkheun_rodrigues,11,12,0,57,2T,Normal
32,2022,B,4,Náutico,nautico,Pedro Vitor Ferreira da Silva,pedro_vitor_ferreira_da_silva,20,33,0,78,2T,Penalty
32,2022,B,4,Náutico,nautico,Ailton Ferreira Silva,ailton_ferreira_silva,6,43,0,88,2T,Normal
33,2022,B,4,Sport,sport,Fabricio Rodrigues da Silva Ferreira,fabricio_rodrigues_da_silva_ferreira,98,35,0,80,2T,Normal
34,2022,B,4,Brusque,brusque,Diego Jardel Koester,diego_jardel_koester,10,6,0,51,2T,Normal
34,2022,B,4,Brusque,brusque,Bruno Henrique Fortunato Aguiar,bruno_henrique_fortunato_aguiar,3,38,0,83,2T,Normal
35,2022,B,4,Chapecoense,chapecoense,Pedro Henrique Perotti,pedro_henrique_perotti,9,13,0,13,1T,Normal
35,2022,B,4,Chapecoense,chapecoense,Matheus Henrique Bianqui,matheus_henrique_bianqui,16,45,5,50,1T,Normal
35,2022,B,4,Chapecoense,chapecoense,Matheus Henrique Bianqui,matheus_henrique_bianqui,16,17,0,62,2T,Normal
36,2022,B,4,Grêmio,gremio,Elias Manoel Alves de Paula,elias_manoel_alves_de_paula,18,8,0,53,2T,Normal
37,2022,B,4,Vasco da Gama,vasco_da_gama,Raniel Santana de Vasconcelos,raniel_santana_de_vasconcelos,9,30,0,30,1T,Normal
38,2022,B,4,Bahia,bahia,Daniel Sampaio Simoes,daniel_sampaio_simoes,10,45,1,46,1T,Normal
39,2022,B,4,Cruzeiro Saf,cruzeiro_saf,Luvanor Henrique de Sousa Silva,luvanor_henrique_de_sousa_silva,90,21,0,66,2T,Normal
40,2022,B,4,Vila Nova,vila_nova,Arthur Rodrigues Rezende,arthur_rodrigues_rezende,8,13,0,13,1T,Penalty
40,2022,B,4,Tombense,tombense,Jean Lucas Figueiredo,jean_lucas_figueiredo,18,37,0,82,2T,Penalty
41,2022,B,5,Ponte Preta,ponte_preta,Norberto Pereira Marinho Neto,norberto_pereira_marinho_neto,2,15,0,15,1T,Normal
41,2022,B,5,Ponte Preta,ponte_preta,Lucca Borges de Brito,lucca_borges_de_brito,10,21,0,66,2T,Normal
42,2022,B,5,Csa,csa,Joao Paulo Ferreira Lourenco,joao_paulo_ferreira_lourenco,20,42,0,87,2T,Normal
43,2022,B,0,Guarani,guarani,Bruno Jose de Souza,bruno_jose_de_souza,17,20,0,20,1T,Normal
