partida_id,temporada,serie,rodada,clube,clube_slug,momento,periodo,minuto_nominal,acrescimo,minuto_continuo,num_entrou,atleta_entrou,atleta_entrou_slug,num_saiu,atleta_saiu,atleta_saiu_slug
202,2023,B,21,Sport,sport,2T,2T,23,0,68,23,Michel Barbosa de Lima,michel_barbosa_de_lima,8,Alan Nahuel Ruiz,alan_nahuel_ruiz
202,2023,B,21,Vila Nova,vila_nova,2T,2T,23,0,68,7,Ronald Sant Anna Rodrigues,ronald_sant_anna_rodrigues,91,Henrique Almeida Caixeta Nas,henrique_almeida_caixeta_nas
202,2023,B,21,Sport,sport,2T,2T,23,0,68,11,Francisco Edson Moreira da S,francisco_edson_moreira_da_s,30,Facundo Labandeira Castro,facundo_labandeira_castro
202,2023,B,21,Sport,sport,2T,2T,26,0,71,2,Ewerthon Diogenes da Silva,ewerthon_diogenes_da_silva,26,Carlos Eduardo Santos Oliveira,carlos_eduardo_santos_oliveira
202,2023,B,21,Vila Nova,vila_nova,2T,2T,29,0,74,20,Luciano Francisco Paulino,luciano_francisco_paulino,8,Ralf de Souza Teles,ralf_de_souza_teles
202,2023,B,21,Vila Nova,vila_nova,2T,2T,29,0,74,23,Igor Henrique Martins Machado,igor_henrique_martins_machado,11,Everton Sidnei de Brito,everton_sidnei_de_brito
202,2023,B,21,Sport,sport,2T,2T,41,0,86,7,Fabio Goncalves,fabio_goncalves,46,Luciano Batista da Silva Jun,luciano_batista_da_silva_jun
202,2023,B,21,Sport,sport,2T,2T,41,0,86,94,Luis Antonio Ferreira Rodrig,luis_antonio_ferreira_rodrig,47,Fabio Matheus Ribeiro Lima,fabio_matheus_ribeiro_lima
203,2023,B,21,Ponte Preta,ponte_preta,INT,2T,45,0,45,77,Igor Torres da Silva,igor_torres_da_silva,10,Elvis Vieira Araujo,elvis_vieira_araujo
203,2023,B,21,Ponte Preta,ponte_preta,2T,2T,19,0,64,16,Paulo Henrique Silva Ribeiro,paulo_henrique_silva_ribeiro,5,Leonardo Naldi de Matos,leonardo_naldi_de_matos
203,2023,B,21,Ponte Preta,ponte_preta,2T,2T,19,0,64,2,Mailton dos Santos de Sa,mailton_dos_santos_de_sa,9,Eliel Chrystian Pereira Silva,eliel_chrystian_pereira_silva
203,2023,B,21,Criciúma,criciuma,2T,2T,22,0,67,23,Eder Citadin Martins,eder_citadin_martins,9,Felipe dos Reis Pereira Vize,felipe_dos_reis_pereira_vize
203,2023,B,21,Criciúma,criciuma,2T,2T,22,0,67,42,Miqueias Cabral Evaristo,miqueias_cabral_evaristo,18,Crystopher Ribeiro Oliveira,crystopher_ribeiro_oliveira
203,2023,B,21,Ponte Preta,ponte_preta,2T,2T,23,0,68,8,Felipe Amaral Casarin Damasc,felipe_amaral_casarin_damasc,6,Antonio Feliphe Costa Silva,antonio_feliphe_costa_silva
203,2023,B,21,Ponte Preta,ponte_preta,2T,2T,32,0,77,14,Luiz Felipe Oliveira de Paula,luiz_felipe_oliveira_de_paula,23,Weverton Guilherme da Silva,weverton_guilherme_da_silva
203,2023,B,21,Criciúma,criciuma,2T,2T,32,0,77,2,Cristovam Roberto Ribeiro da,cristovam_roberto_ribeiro_da,27,Claudio Coelho Salvatico,claudio_coelho_salvatico
203,2023,B,21,Criciúma,criciuma,2T,2T,32,0,77,5,Leonardo de Oliveira Costa,leonardo_de_oliveira_costa,17,Romulo da Silva Machado,romulo_da_silva_machado
203,2023,B,21,Criciúma,criciuma,2T,2T,42,0,87,6,Helder Silva Santos,helder_silva_santos,8,Arilson Carlos Alves Baptista,arilson_carlos_alves_baptista
204,2023,B,21,Tombense,tombense,1T,1T,32,0,32,21,Marcelo Jose de Lima Filho,marcelo_jose_de_lima_filho,7,Alexandre de Jesus Jeruzalem,alexandre_de_jesus_jeruzalem
204,2023,B,21,Tombense,tombense,1T,1T,38,0,38,13,Luis Felipe Hungria Martins,luis_felipe_hungria_martins,3,Mateus Antonio Pinheiro Buiate,mateus_antonio_pinheiro_buiate
204,2023,B,21,Tombense,tombense,INT,2T,45,0,45,19,Alex Sandro de Oliveira,alex_sandro_de_oliveira,9,Jose Fernando Viana de Santana,jose_fernando_viana_de_santana
204,2023,B,21,Ituano,ituano,2T,2T,10,0,55,19,Matheus Alfredo Cadorini da,matheus_alfredo_cadorini_da,9,Diego de Souza Quirino,diego_de_souza_quirino
204,2023,B,21,Ituano,ituano,2T,2T,10,0,55,13,Guilherme Augusto Pacheco,guilherme_augusto_pacheco,2,Iury de Oliveira Nascimento,iury_de_oliveira_nascimento
