modelo,n_obs,r2,coef_is_serie_b,p_val_is_serie_b,coef_ano_2023,p_val_ano_2023,coef_interacao,p_val_interacao,coef_is_mandante,p_val_is_mandante
Cartões Totais (Séries A e B 2022-2023),3040,0.0154,-0.2835,0.03696,0.1842,0.03734,0.1423,0.28195,-0.2055,0.01323
Proporção Cartões 1T (Séries A e B 2022-2023),3040,0.0043,-0.026,0.15471,0.0176,0.36216,-0.0169,0.49294,-0.0115,0.35422
