periodo,media_serie_a,std_serie_a,media_serie_b,std_serie_b,diff_absoluta,diff_percentual,t_statistic,p_value_t,mann_whitney_u,p_value_u,cohens_d
2022,5.2841823056300266,2.546279531109317,4.51595744680851,2.222253664080168,0.7682248588215161,17.01133962996997,4.397673838141376,1.2565021433044544e-05,81626.0,9.00571498282534e-05,0.32155200041817894
2023,5.588390501319261,2.3947633114787723,5.21957671957672,2.6626282523624782,0.3688137817425412,7.065971084575802,2.0035007708089454,0.04548465593078235,76788.5,0.08424873026852875,0.14565742618592345
Ambos (2022-2023),5.4375,2.474117012863824,4.86870026525199,2.4764498553646077,0.5687997347480103,11.68278398256605,4.4587875595685,8.854029595566215e-06,318080.5,3.667565593985669e-05,0.22979158965339547
