protocolo,nivel,cenario,grupo_avaliado,indice,positivos_no_treino,prob_suspeicao,percentil_prob,iforest_outlier,classe,cenario_agregado
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-012,2971,4,0.0964,24.13,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-013,3012,4,0.1058,27.37,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_B_avalia_em_A,PM-014,3017,4,0.2342,60.54,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,partida,treina_em_A_avalia_em_B,PM-001,4178,9,0.3666,54.68,1,Classe 1,treina_em_A_avalia_em_B
separacao_por_serie,partida,treina_em_A_avalia_em_B,PM-002,4172,9,0.6179,86.99,0,Classe 2,treina_em_A_avalia_em_B
separacao_por_serie,partida,treina_em_A_avalia_em_B,PM-003,4176,9,0.6139,85.92,0,Classe 2,treina_em_A_avalia_em_B
separacao_por_serie,partida,treina_em_A_avalia_em_B,PM-004,4176,9,0.6139,85.92,0,Classe 2,treina_em_A_avalia_em_B
separacao_por_serie,partida,treina_em_A_avalia_em_B,PM-005,4101,9,0.0943,6.49,0,Classe 0,treina_em_A_avalia_em_B
separacao_por_serie,atleta,treina_em_B_avalia_em_A,Paulo Miranda,362,3,0.1801,55.28,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,atleta,treina_em_B_avalia_em_A,Eduardo Bauermann,947,3,0.3129,71.77,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,atleta,treina_em_B_avalia_em_A,Nino Paraiba,2405,3,0.04,30.16,0,Classe 0,treina_em_B_avalia_em_A
separacao_por_serie,atleta,treina_em_B_avalia_em_A,Moraes Jr,906,3,0.7295,93.8,0,Classe 2,treina_em_B_avalia_em_A
separacao_por_serie,atleta,treina_em_A_avalia_em_B,Joseph,1166,4,0.5534,85.68,0,Classe 1,treina_em_A_avalia_em_B
separacao_por_serie,atleta,treina_em_A_avalia_em_B,Mateusinho,1194,4,0.3169,59.26,0,Classe 0,treina_em_A_avalia_em_B
separacao_por_serie,atleta,treina_em_A_avalia_em_B,Ygor Catatau,1380,4,0.2713,54.09,0,Classe 0,treina_em_A_avalia_em_B
